News,Label
Trade Setup: Mt 15K immediate support for Nifty; use up moves to exit high beta stocks,1.0
"Tech View: Nifty slips into consolidation phase; upside hurdle at 15,250",0.0
"Sensex ends marginally lower after choppy trade; Nifty holds above 15,100",0.0
Explained in 7 charts: How Nifty went up 14x in 25 years,1.0
ICICI Lombard General Insurance Company Ltd. shares down 1.02% as Nifty drops,0.0
Berger Paints (India) Ltd. shares down 0.19% as Nifty drops,0.0
Torrent Pharmaceuticals Ltd. shares falls 0.25% as Nifty drops,0.0
Share price of Petronet LNG Ltd. falls as Nifty weakens,0.0
Share price of TVS Motor Company Ltd. falls as Nifty weakens,0.0
Shares of Adani Green Energy Ltd. fall as Nifty drops,0.0
Crompton Greaves Consumer Electricals Ltd. shares up 0.58% as Nifty gains,1.0
MRF Ltd. shares rise 0.14% as Nifty gains,1.0
Indian Oil Corporation Ltd. shares down 0.77% as Nifty drops,0.0
Pidilite Industries Ltd. shares fall 0.82% as Nifty drops,0.0
Share price of Shriram Transport Finance Company Ltd. rises as Nifty weakens,1.0
Bandhan Bank Ltd. shares fall 0.52% as Nifty drops,0.0
Shares of Jubilant Foodworks Ltd. rise as Nifty drops,1.0
Federal Bank Ltd. shares fall 0.36% as Nifty drops,0.0
Shares of LIC Housing Finance Ltd. fall as Nifty drops,0.0
Share price of PI Industries Ltd. falls as Nifty weakens,0.0
Shares of Siemens Ltd. fall as Nifty drops,0.0
Shares of ACC Ltd. fall as Nifty drops,0.0
Shares of Container Corporation of India Ltd. fall as Nifty drops,0.0
Tata Power Company Ltd. shares falls 0.29% as Nifty drops,0.0
Share price of Hindustan Petroleum Corporation Ltd. falls as Nifty weakens,0.0
Zee Entertainment Enterprises Ltd. shares up 0.74% as Nifty drops,0.0
GAIL (India) Ltd. shares up 1.26% as Nifty drops,0.0
Ambuja Cements Ltd. shares up 1.5% as Nifty gains,1.0
Piramal Enterprises Ltd. shares up 2.36% as Nifty drops,0.0
Vedanta Ltd. shares up 2.97% as Nifty gains,1.0
"Sensex gains 150 points, Nifty above 15,150; NCC rises 3%",1.0
 Nifty up 30 points; here's what changed for market while you were sleeping,1.0
Trade Setup: Staying above 15K crucial for Nifty; stick to defensive stocks,0.0
"Tech View: Nifty's winning run stalls; profit booking likely below 15,050",1.0
F&O: Nifty has to hold above 15K to continue bullish trend,1.0
Torrent Pharmaceuticals Ltd. shares down 6.47% as Nifty gains,1.0
Piramal Enterprises Ltd. shares up 0.77% as Nifty gains,1.0
Shriram Transport Finance Company Ltd. shares down 0.07% as Nifty gains,1.0
Jubilant Foodworks Ltd. shares down 0.36% as Nifty falls,0.0
